Country,alpha3,date,School closing,Workplace closing,Cancel public events,Restrictions on gatherings,Close public transport,Stay at home requirements,Restrictions on internal movement,International travel controls,Income support,Debt/contract relief,Fiscal measures,International support,Public information campaigns,Testing policy,Contact tracing,Emergency investment in healthcare,Investment in vaccines
Spain,ESP,2020-06-07,2,2,2,3,1,1,1,4,2,2,0,0,2,2,1,0,0
Spain,ESP,2020-06-08,2,1,2,3,0,1,1,4,2,2,0,0,2,2,1,0,0
Spain,ESP,2020-06-09,2,1,2,3,0,1,1,4,2,2,0,0,2,2,1,0,0
Spain,ESP,2020-06-10,2,1,2,3,0,1,1,4,2,2,0,0,2,2,1,0,0
Spain,ESP,2020-06-11,2,1,2,3,0,1,1,4,2,2,0,0,2,2,1,0,0
Spain,ESP,2020-06-12,2,1,2,3,0,1,1,4,2,2,0,0,2,2,1,0,0
Spain,ESP,2020-06-13,2,1,2,3,0,1,1,4,2,2,0,0,2,2,1,0,0
Spain,ESP,2020-06-14,2,1,2,3,0,1,1,4,2,2,0,0,2,2,1,0,0
Spain,ESP,2020-06-15,2,1,2,3,0,1,1,4,2,2,0,0,2,2,1,0,0
Spain,ESP,2020-06-16,2,1,2,3,0,1,1,4,2,2,0,0,2,2,1,0,0
Spain,ESP,2020-06-17,2,1,2,3,0,1,1,4,2,2,0,0,2,2,1,0,0
Spain,ESP,2020-06-18,2,1,2,3,0,1,1,4,2,2,0,0,2,2,1,0,0
Spain,ESP,2020-06-19,2,1,2,3,0,1,1,4,2,2,0,0,2,2,1,0,0
Spain,ESP,2020-06-20,2,1,2,3,0,1,1,4,2,2,0,0,2,2,1,0,0
Spain,ESP,2020-06-21,2,0,2,2,0,0,0,1,2,2,0,0,2,2,1,0,0
Spain,ESP,2020-06-22,2,0,2,2,0,0,0,1,2,2,0,0,2,2,1,0,0
Spain,ESP,2020-06-23,2,0,2,2,0,0,0,1,2,2,0,0,2,2,1,0,0
Spain,ESP,2020-06-24,2,0,2,2,0,0,0,1,2,2,0,0,2,2,1,0,0
Spain,ESP,2020-06-25,2,0,2,2,0,0,0,1,2,2,0,0,2,2,1,0,0
Spain,ESP,2020-06-26,2,0,2,2,0,0,0,1,2,2,0,0,2,2,1,0,0
Spain,ESP,2020-06-27,2,0,2,2,0,0,0,1,2,2,0,0,2,2,1,0,0
Spain,ESP,2020-06-28,2,0,2,2,0,0,0,1,2,2,0,0,2,2,1,0,0
Spain,ESP,2020-06-29,2,0,2,2,0,0,0,1,2,2,0,0,2,2,1,0,0
Spain,ESP,2020-06-30,2,0,2,2,0,0,0,1,2,2,0,0,2,2,1,0,0
Spain,ESP,2020-07-01,2,0,2,2,0,0,0,1,2,2,0,0,2,2,1,0,0
Spain,ESP,2020-07-02,2,0,2,2,0,0,0,1,2,2,0,0,2,2,1,0,0
Spain,ESP,2020-07-03,2,0,2,2,0,0,0,1,2,2,0,0,2,2,1,0,0
Spain,ESP,2020-07-04,2,0,2,4,0,1,2,1,2,2,0,0,2,2,1,0,0
Spain,ESP,2020-07-05,2,0,2,4,0,1,2,1,2,2,0,0,2,2,1,0,0
Spain,ESP,2020-07-06,2,0,2,4,0,1,2,1,2,2,0,0,2,2,1,0,0
Spain,ESP,2020-07-07,2,0,2,4,0,1,2,1,2,2,0,0,2,2,1,0,0
Spain,ESP,2020-07-08,2,0,2,4,0,1,2,1,2,2,0,0,2,2,1,0,0
Spain,ESP,2020-07-09,2,0,2,4,0,1,2,1,2,2,0,0,2,2,1,0,0
Spain,ESP,2020-07-10,2,0,2,4,0,1,2,1,2,2,0,0,2,2,1,0,0
Spain,ESP,2020-07-11,2,0,2,4,0,1,2,1,2,2,0,0,2,2,1,0,0
Spain,ESP,2020-07-12,2,0,2,4,0,1,2,1,2,2,0,0,2,2,1,0,0
Spain,ESP,2020-07-13,2,0,2,4,0,1,2,1,2,2,0,0,2,2,1,0,0
Spain,ESP,2020-07-14,2,0,2,4,0,1,2,1,2,2,0,0,2,2,1,0,0
Spain,ESP,2020-07-15,2,0,2,4,0,1,2,1,2,2,0,0,2,2,1,0,0
Spain,ESP,2020-07-16,2,0,2,4,0,1,2,1,2,2,0,0,2,2,1,0,0
Spain,ESP,2020-07-17,0,,,,,,,,,,,,,,,,
Spain,ESP,2020-07-18,0,,,,,,,,,,,,,,,,
Spain,ESP,2020-07-19,0,,,,,,,,,,,,,,,,
Spain,ESP,2020-07-20,0,,,,,,,,,,,,,,,,
Sri Lanka,LKA,2020-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sri Lanka,LKA,2020-01-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sri Lanka,LKA,2020-01-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sri Lanka,LKA,2020-01-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sri Lanka,LKA,2020-01-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sri Lanka,LKA,2020-01-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sri Lanka,LKA,2020-01-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sri Lanka,LKA,2020-01-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sri Lanka,LKA,2020-01-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sri Lanka,LKA,2020-01-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sri Lanka,LKA,2020-01-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sri Lanka,LKA,2020-01-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sri Lanka,LKA,2020-01-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sri Lanka,LKA,2020-01-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sri Lanka,LKA,2020-01-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sri Lanka,LKA,2020-01-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sri Lanka,LKA,2020-01-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sri Lanka,LKA,2020-01-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sri Lanka,LKA,2020-01-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sri Lanka,LKA,2020-01-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sri Lanka,LKA,2020-01-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sri Lanka,LKA,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sri Lanka,LKA,2020-01-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sri Lanka,LKA,2020-01-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sri Lanka,LKA,2020-01-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sri Lanka,LKA,2020-01-26,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Sri Lanka,LKA,2020-01-27,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Sri Lanka,LKA,2020-01-28,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Sri Lanka,LKA,2020-01-29,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Sri Lanka,LKA,2020-01-30,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Sri Lanka,LKA,2020-01-31,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Sri Lanka,LKA,2020-02-01,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Sri Lanka,LKA,2020-02-02,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Sri Lanka,LKA,2020-02-03,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Sri Lanka,LKA,2020-02-04,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Sri Lanka,LKA,2020-02-05,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Sri Lanka,LKA,2020-02-06,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,0,0
Sri Lanka,LKA,2020-02-07,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,0,0
Sri Lanka,LKA,2020-02-08,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,0,0
Sri Lanka,LKA,2020-02-09,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,0,0
Sri Lanka,LKA,2020-02-10,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,0,0
Sri Lanka,LKA,2020-02-11,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,0,0
Sri Lanka,LKA,2020-02-12,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,0,0
Sri Lanka,LKA,2020-02-13,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,0,0
Sri Lanka,LKA,2020-02-14,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,0,0
Sri Lanka,LKA,2020-02-15,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,0,0
Sri Lanka,LKA,2020-02-16,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,0,0
Sri Lanka,LKA,2020-02-17,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,0,0
Sri Lanka,LKA,2020-02-18,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,0,0
Sri Lanka,LKA,2020-02-19,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,0,0
Sri Lanka,LKA,2020-02-20,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,0,0
Sri Lanka,LKA,2020-02-21,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,0,0
Sri Lanka,LKA,2020-02-22,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,0,0
Sri Lanka,LKA,2020-02-23,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,0,0
Sri Lanka,LKA,2020-02-24,0,0,0,0,0,0,0,2,0,0,0,0,1,1,2,0,0
Sri Lanka,LKA,2020-02-25,0,0,0,0,0,0,0,2,0,0,0,0,1,1,2,0,0
Sri Lanka,LKA,2020-02-26,0,0,0,0,0,0,0,2,0,0,0,0,1,1,2,0,0
Sri Lanka,LKA,2020-02-27,0,0,0,0,0,0,0,2,0,0,0,0,1,1,2,0,0
Sri Lanka,LKA,2020-02-28,0,0,0,0,0,0,0,2,0,0,0,0,1,1,2,0,0
Sri Lanka,LKA,2020-02-29,0,0,0,0,0,0,0,2,0,0,0,0,1,1,2,0,0
Sri Lanka,LKA,2020-03-01,0,0,0,0,0,0,0,2,0,0,0,0,1,1,2,0,0
Sri Lanka,LKA,2020-03-02,0,0,0,0,0,0,0,2,0,0,0,0,1,1,2,0,0
Sri Lanka,LKA,2020-03-03,0,0,0,0,0,0,0,2,0,0,0,0,1,1,2,0,0
Sri Lanka,LKA,2020-03-04,0,0,0,0,0,0,0,2,0,0,0,0,1,1,2,0,0
Sri Lanka,LKA,2020-03-05,0,0,0,0,0,0,0,2,0,0,0,0,1,1,2,0,0
Sri Lanka,LKA,2020-03-06,0,0,0,0,0,0,0,2,0,0,0,0,1,1,2,0,0
Sri Lanka,LKA,2020-03-07,0,0,0,0,0,0,0,2,0,0,0,0,1,1,2,0,0
Sri Lanka,LKA,2020-03-08,0,0,0,0,0,0,0,2,0,0,0,0,1,1,2,0,0
Sri Lanka,LKA,2020-03-09,0,0,0,0,0,0,0,2,0,0,0,0,1,1,2,0,0
Sri Lanka,LKA,2020-03-10,0,0,0,0,0,0,0,2,0,0,0,0,1,1,2,0,0
Sri Lanka,LKA,2020-03-11,0,0,0,0,0,0,0,2,0,0,0,0,1,1,2,0,0
Sri Lanka,LKA,2020-03-12,0,0,0,0,0,0,0,2,0,0,0,0,1,1,2,0,0
Sri Lanka,LKA,2020-03-13,2,0,0,0,0,0,0,2,0,0,0,0,1,1,2,0,0
Sri Lanka,LKA,2020-03-14,2,0,2,4,0,0,0,3,0,0,0,0,2,1,2,0,0
Sri Lanka,LKA,2020-03-15,2,0,2,4,0,0,0,3,0,0,0,0,2,1,2,0,0
Sri Lanka,LKA,2020-03-16,2,3,2,4,0,0,0,3,0,0,0,0,2,1,2,0,0
Sri Lanka,LKA,2020-03-17,2,3,2,4,0,0,0,3,0,0,0,0,2,1,2,0,0
Sri Lanka,LKA,2020-03-18,3,3,2,4,0,3,2,3,0,0,0,0,2,1,2,0,0
Sri Lanka,LKA,2020-03-19,3,3,2,4,0,3,2,4,0,0,"500,000,000",0,2,1,2,0,0
Sri Lanka,LKA,2020-03-20,3,3,2,4,0,3,2,4,0,0,0,0,2,1,2,0,0
Sri Lanka,LKA,2020-03-21,3,3,2,4,0,3,2,4,0,0,0,0,2,1,2,0,0
Sri Lanka,LKA,2020-03-22,3,3,2,4,0,3,2,4,0,0,0,0,2,1,2,0,0
Sri Lanka,LKA,2020-03-23,3,3,2,4,2,3,2,4,0,0,"534,736","5,000,000",2,1,2,"5,000,000",0
Sri Lanka,LKA,2020-03-24,3,3,2,4,2,3,2,4,0,0,0,0,2,1,2,0,0
Sri Lanka,LKA,2020-03-25,3,3,2,4,2,3,2,4,0,0,0,0,2,1,2,0,0
Sri Lanka,LKA,2020-03-26,3,3,2,4,2,3,2,4,0,0,0,0,2,1,2,0,0
Sri Lanka,LKA,2020-03-27,3,3,2,4,2,3,2,4,0,0,0,0,2,1,2,0,0
Sri Lanka,LKA,2020-03-28,3,3,2,4,2,3,2,4,0,0,0,0,2,1,2,0,0
Sri Lanka,LKA,2020-03-29,3,3,2,4,2,3,2,4,0,0,0,0,2,1,2,0,0
Sri Lanka,LKA,2020-03-30,3,3,2,4,2,3,2,4,0,0,0,0,2,1,2,0,0
Sri Lanka,LKA,2020-03-31,3,3,2,4,2,3,2,4,0,0,0,0,2,1,2,0,0
Sri Lanka,LKA,2020-04-01,3,3,2,4,2,3,2,4,0,0,0,0,2,1,2,0,0
Sri Lanka,LKA,2020-04-02,3,3,2,4,2,3,2,4,0,0,0,0,2,1,2,"128,600,000",0
Sri Lanka,LKA,2020-04-03,3,3,2,4,2,3,2,4,0,0,0,0,2,1,2,0,0
Sri Lanka,LKA,2020-04-04,3,3,2,4,2,3,2,4,0,0,0,0,2,1,2,0,0
Sri Lanka,LKA,2020-04-05,3,3,2,4,2,3,2,4,0,0,0,0,2,1,2,0,0
Sri Lanka,LKA,2020-04-06,3,3,2,4,2,3,2,4,0,0,0,0,2,1,2,0,0
Sri Lanka,LKA,2020-04-07,3,3,2,4,2,3,2,4,0,0,0,0,2,2,2,0,0
Sri Lanka,LKA,2020-04-08,3,3,2,4,2,3,2,4,0,0,0,0,2,2,2,0,0
Sri Lanka,LKA,2020-04-09,3,3,2,4,2,3,2,4,0,0,0,0,2,2,2,0,0
Sri Lanka,LKA,2020-04-10,3,3,2,4,2,3,2,4,0,0,0,0,2,2,2,0,0
Sri Lanka,LKA,2020-04-11,3,3,2,4,2,3,2,4,0,0,0,0,2,2,2,0,0
Sri Lanka,LKA,2020-04-12,3,3,2,4,2,3,2,4,0,0,0,0,2,2,2,0,0
Sri Lanka,LKA,2020-04-13,3,3,2,4,2,3,2,4,0,0,0,0,2,2,2,0,0
Sri Lanka,LKA,2020-04-14,3,3,2,4,2,3,2,4,0,0,0,0,2,2,2,0,0
Sri Lanka,LKA,2020-04-15,3,3,2,4,2,3,2,4,0,0,0,0,2,2,2,0,0
Sri Lanka,LKA,2020-04-16,3,3,2,4,2,3,2,4,0,0,0,0,2,2,2,0,0
Sri Lanka,LKA,2020-04-17,3,3,2,4,2,3,2,4,0,0,0,0,2,2,2,0,0
Sri Lanka,LKA,2020-04-18,3,3,2,0,1,3,2,4,0,0,0,0,2,2,2,0,0
Sri Lanka,LKA,2020-04-19,3,3,2,0,1,3,2,4,0,0,0,0,2,2,2,0,0
Sri Lanka,LKA,2020-04-20,3,3,2,0,1,3,2,4,0,0,0,0,2,2,2,0,0
Sri Lanka,LKA,2020-04-21,3,3,2,0,1,3,2,4,0,0,0,0,2,2,2,0,0
Sri Lanka,LKA,2020-04-22,3,2,2,0,1,3,2,4,0,0,0,0,2,2,2,0,0
Sri Lanka,LKA,2020-04-23,3,2,2,0,1,3,2,4,0,0,0,0,2,2,2,0,0
Sri Lanka,LKA,2020-04-24,3,2,2,0,1,3,2,4,0,2,0,0,2,2,2,0,0
Sri Lanka,LKA,2020-04-25,3,2,2,0,1,3,2,4,0,2,0,0,2,2,2,0,0
Sri Lanka,LKA,2020-04-26,3,2,2,0,1,3,2,4,0,2,0,0,2,2,2,0,0
Sri Lanka,LKA,2020-04-27,3,2,2,0,1,3,2,4,0,2,0,0,2,2,2,0,0
Sri Lanka,LKA,2020-04-28,3,2,2,0,1,3,2,4,0,2,0,0,2,2,2,0,0
Sri Lanka,LKA,2020-04-29,3,2,2,0,1,3,2,4,0,2,0,0,2,2,2,0,0
Sri Lanka,LKA,2020-04-30,3,2,2,0,1,3,2,4,0,2,0,0,2,2,2,0,0
Sri Lanka,LKA,2020-05-01,3,2,2,0,1,3,2,4,0,2,0,0,2,2,2,0,0
Sri Lanka,LKA,2020-05-02,3,2,2,0,1,3,2,4,0,2,0,0,2,2,2,0,0
Sri Lanka,LKA,2020-05-03,3,2,2,0,1,3,2,4,0,2,0,0,2,2,2,0,0
Sri Lanka,LKA,2020-05-04,3,2,2,0,1,3,2,4,0,2,0,0,2,2,2,0,0
Sri Lanka,LKA,2020-05-05,3,2,2,0,1,3,2,4,0,2,0,0,2,2,2,0,0
Sri Lanka,LKA,2020-05-06,3,2,2,0,1,3,2,4,0,2,0,0,2,2,2,0,0
Sri Lanka,LKA,2020-05-07,3,2,2,0,1,3,2,4,0,2,0,0,2,2,2,0,0
Sri Lanka,LKA,2020-05-08,3,2,2,0,1,3,2,4,0,2,0,0,2,2,2,0,0
Sri Lanka,LKA,2020-05-09,3,2,2,0,1,3,2,4,0,2,0,0,2,2,2,0,0
Sri Lanka,LKA,2020-05-10,3,2,2,0,1,3,2,4,0,2,0,0,2,2,2,0,0
Sri Lanka,LKA,2020-05-11,3,0,2,4,1,2,2,4,0,2,0,0,2,2,2,0,0
Sri Lanka,LKA,2020-05-12,3,0,2,4,1,2,2,4,0,2,0,0,2,2,2,0,0
Sri Lanka,LKA,2020-05-13,3,0,2,4,2,2,2,4,0,2,0,0,2,2,2,0,0
Sri Lanka,LKA,2020-05-14,3,0,2,4,2,2,2,4,0,2,0,0,2,2,2,0,0
Sri Lanka,LKA,2020-05-15,3,0,2,4,2,2,2,4,0,2,0,0,2,2,2,0,0
Sri Lanka,LKA,2020-05-16,3,0,2,4,2,2,2,4,0,2,0,0,2,2,2,0,0
Sri Lanka,LKA,2020-05-17,3,0,2,4,2,2,2,4,0,2,0,0,2,2,2,0,0
Sri Lanka,LKA,2020-05-18,3,0,2,4,2,2,2,4,0,2,0,0,2,2,2,0,0
Sri Lanka,LKA,2020-05-19,3,0,2,4,2,2,2,4,0,2,0,0,2,2,2,0,0
Sri Lanka,LKA,2020-05-20,3,0,2,4,2,2,2,4,0,2,0,0,2,2,2,0,0
Sri Lanka,LKA,2020-05-21,3,0,2,4,2,2,2,4,0,2,0,0,2,2,2,0,0
Sri Lanka,LKA,2020-05-22,3,0,2,4,2,2,2,4,0,2,0,0,2,2,2,0,0
Sri Lanka,LKA,2020-05-23,3,0,2,4,2,2,2,4,0,2,0,0,2,2,2,0,0
Sri Lanka,LKA,2020-05-24,3,0,2,4,2,2,2,4,0,2,0,0,2,2,2,0,0
Sri Lanka,LKA,2020-05-25,3,0,2,4,2,2,2,4,0,2,0,0,2,2,2,0,0
Sri Lanka,LKA,2020-05-26,3,0,2,3,2,2,2,4,0,2,0,0,2,2,2,0,0
Sri Lanka,LKA,2020-05-27,3,0,2,3,2,2,2,4,0,2,0,0,2,2,2,0,0
Sri Lanka,LKA,2020-05-28,3,0,2,3,2,2,2,4,0,2,0,0,2,2,2,0,0
Sri Lanka,LKA,2020-05-29,3,0,2,3,2,2,2,4,0,2,0,0,2,2,2,0,0
Sri Lanka,LKA,2020-05-30,3,0,2,3,2,2,2,4,0,2,0,0,2,2,2,0,0
Sri Lanka,LKA,2020-05-31,3,0,2,3,2,2,2,4,0,2,0,0,2,2,2,0,0
Sri Lanka,LKA,2020-06-01,3,0,2,3,2,2,2,4,0,2,0,0,2,2,2,0,0
Sri Lanka,LKA,2020-06-02,3,0,2,3,2,2,2,4,0,0,0,0,2,2,2,0,0
Sri Lanka,LKA,2020-06-03,3,0,2,3,2,2,2,4,0,0,0,0,2,2,2,0,0
Sri Lanka,LKA,2020-06-04,3,0,2,3,2,2,2,4,0,0,0,0,2,2,2,0,0
Sri Lanka,LKA,2020-06-05,3,0,2,3,2,2,2,4,0,0,0,0,2,2,2,0,0
Sri Lanka,LKA,2020-06-06,3,0,2,3,2,2,2,4,0,0,0,0,2,2,2,0,0
Sri Lanka,LKA,2020-06-07,3,0,2,3,2,2,2,4,0,0,0,0,2,2,2,0,0
Sri Lanka,LKA,2020-06-08,3,0,2,3,0,2,0,4,0,0,0,0,2,2,2,0,0
Sri Lanka,LKA,2020-06-09,3,0,2,3,0,2,0,4,0,0,0,0,2,2,2,0,0
Sri Lanka,LKA,2020-06-10,3,0,2,3,0,2,0,4,0,0,0,0,2,2,2,0,0
Sri Lanka,LKA,2020-06-11,3,0,2,2,0,2,0,4,0,2,0,0,2,2,2,0,0
Sri Lanka,LKA,2020-06-12,3,0,2,2,0,2,0,4,0,2,0,0,2,2,2,0,0
Sri Lanka,LKA,2020-06-13,3,0,2,2,0,2,0,4,0,2,0,0,2,2,2,0,0
Sri Lanka,LKA,2020-06-14,3,0,2,2,0,2,0,4,0,2,0,0,2,2,2,0,0
Sri Lanka,LKA,2020-06-15,3,0,2,2,0,2,0,4,0,2,0,0,2,2,2,0,0
Sri Lanka,LKA,2020-06-16,3,0,2,2,0,2,0,4,0,2,0,0,2,2,2,0,0
Sri Lanka,LKA,2020-06-17,3,0,2,2,0,2,0,4,0,2,0,0,2,2,2,0,0
Sri Lanka,LKA,2020-06-18,3,0,2,2,0,2,0,4,0,2,0,0,2,2,2,0,0
Sri Lanka,LKA,2020-06-19,3,0,2,2,0,2,0,4,0,2,0,0,2,2,2,0,0
Sri Lanka,LKA,2020-06-20,3,0,2,2,0,2,0,4,0,2,0,0,2,2,2,0,0
Sri Lanka,LKA,2020-06-21,3,0,2,2,0,2,0,4,0,2,0,0,2,2,2,0,0
Sri Lanka,LKA,2020-06-22,3,0,2,2,0,2,0,4,0,2,0,0,2,2,2,0,0
Sri Lanka,LKA,2020-06-23,3,0,2,2,0,2,0,4,0,2,0,0,2,2,2,0,0
Sri Lanka,LKA,2020-06-24,3,0,2,2,0,2,0,4,0,2,0,0,2,2,2,0,0
Sri Lanka,LKA,2020-06-25,3,0,2,2,0,2,0,4,0,2,0,0,2,2,2,0,0
Sri Lanka,LKA,2020-06-26,3,0,2,2,0,2,0,4,0,2,0,0,2,2,2,0,0
Sri Lanka,LKA,2020-06-27,3,0,2,2,0,2,0,4,0,2,0,0,2,2,2,0,0
Sri Lanka,LKA,2020-06-28,3,0,2,2,0,1,0,4,0,2,0,0,2,2,2,0,0
Sri Lanka,LKA,2020-06-29,3,0,2,2,0,1,0,4,0,2,0,0,2,2,2,0,0
Sri Lanka,LKA,2020-06-30,3,0,2,2,0,1,0,4,0,2,0,0,2,2,2,0,0
Sri Lanka,LKA,2020-07-01,3,0,2,2,0,1,0,4,0,2,0,0,2,2,2,0,0
Sri Lanka,LKA,2020-07-02,3,0,2,2,0,1,0,4,0,2,0,0,2,2,2,0,0
Sri Lanka,LKA,2020-07-03,3,0,2,2,0,1,0,4,0,2,0,0,2,2,2,0,0
Sri Lanka,LKA,2020-07-04,3,0,2,2,0,1,0,4,0,2,0,0,2,2,2,0,0
Sri Lanka,LKA,2020-07-05,3,0,2,2,0,1,0,4,0,2,0,0,2,2,2,0,0
Sri Lanka,LKA,2020-07-06,2,0,2,2,0,1,0,4,0,2,0,0,2,2,2,0,0
Sri Lanka,LKA,2020-07-07,2,0,2,2,0,1,0,4,0,2,0,0,2,2,2,0,0
Sri Lanka,LKA,2020-07-08,2,0,2,2,0,1,0,4,0,2,0,0,2,2,2,0,0
Sri Lanka,LKA,2020-07-09,2,0,2,2,0,1,0,4,0,2,0,0,2,2,2,0,0
Sri Lanka,LKA,2020-07-10,2,0,2,2,0,1,0,4,0,2,0,0,2,2,2,0,0
Sri Lanka,LKA,2020-07-11,2,0,2,2,0,1,0,4,0,2,0,0,2,2,2,0,0
Sri Lanka,LKA,2020-07-12,2,0,2,2,0,1,0,4,0,2,0,0,2,2,2,0,0
Sri Lanka,LKA,2020-07-13,3,0,2,2,0,1,0,4,0,2,0,0,2,2,2,0,0
Sri Lanka,LKA,2020-07-14,3,0,2,2,0,1,0,4,0,2,0,0,2,2,2,0,0
Sri Lanka,LKA,2020-07-15,3,0,2,2,0,1,0,4,0,2,0,0,2,2,2,0,0
Sri Lanka,LKA,2020-07-16,3,0,2,2,0,1,0,4,0,2,0,0,2,2,2,0,0
Sri Lanka,LKA,2020-07-17,3,0,2,2,0,1,0,4,0,2,0,0,2,2,2,0,0
Sri Lanka,LKA,2020-07-18,3,0,2,2,0,1,0,4,0,2,0,0,2,2,2,0,0
Sri Lanka,LKA,2020-07-19,3,0,2,2,0,1,0,4,0,2,0,0,2,2,2,0,0
Sri Lanka,LKA,2020-07-20,3,0,2,2,0,1,0,4,0,2,0,0,2,2,2,0,0
Sudan,SDN,2020-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sudan,SDN,2020-01-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sudan,SDN,2020-01-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sudan,SDN,2020-01-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sudan,SDN,2020-01-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sudan,SDN,2020-01-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sudan,SDN,2020-01-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sudan,SDN,2020-01-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sudan,SDN,2020-01-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sudan,SDN,2020-01-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sudan,SDN,2020-01-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sudan,SDN,2020-01-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sudan,SDN,2020-01-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sudan,SDN,2020-01-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sudan,SDN,2020-01-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sudan,SDN,2020-01-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sudan,SDN,2020-01-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sudan,SDN,2020-01-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sudan,SDN,2020-01-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sudan,SDN,2020-01-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
